date,open,high,low,close,volume
2019-11-26,202.35,204.0,194.0,196.9,149610000.0
2019-11-27,199.25,200.45000000000002,190.7375,193.35000000000002,14880000.0
2019-11-28,193.25,194.51250000000002,191.45,194.14999999999998,3680000.0
2019-11-29,192.60000000000002,194.54999999999998,190.0,190.15,6540000.0
2019-12-02,190.15,192.8,189.45,189.45,15800000.0
2019-12-03,189.54999999999998,192.39999999999998,188.0,189.35,12200000.0
2019-12-04,188.75,195.2,188.15,194.5,25030000.0
2019-12-05,195.85000000000002,195.85000000000002,190.15,195.6,10080000.0
2019-12-06,193.55,199.975,193.55,199.75,7730000.0
2019-12-09,200.04999999999998,202.10000000000002,199.42499999999998,201.5,7080000.0
2019-12-10,201.05,201.225,198.4,200.85000000000002,7920000.0
2019-12-11,191.25,191.25,177.5,181.75,43170000.0
2019-12-12,183.75,187.15,183.22500000000002,185.3,19330000.0
2019-12-13,194.25,199.35,191.35000000000002,195.7,14480000.0
2019-12-16,198.0,203.15,196.25,202.5,8180000.0
2019-12-17,202.7,207.45000000000002,200.85000000000002,205.25,13630000.0
2019-12-18,204.65,205.0,199.25,202.35,11530000.0
2019-12-19,202.25,205.35,199.85,204.05,12810000.0
2019-12-20,205.10000000000002,205.95,202.45000000000002,205.0,12280000.0
2019-12-23,205.15,208.0,202.95000000000002,208.0,6820000.0
2019-12-24,207.8,208.79999999999998,206.75,208.6,1230000.0
2019-12-27,208.25,211.05,204.4375,211.05,3570000.0
2019-12-30,208.6,212.45000000000002,207.8,208.05,5120000.0
2019-12-31,209.05,211.14999999999998,208.05,209.35,2010000.0
2020-01-02,210.6,212.5,205.55,207.85,7200000.0
2020-01-03,205.45000000000002,206.6,200.9,202.8,7960000.0
2020-01-06,201.6,204.1,198.95,204.1,6530000.0
2020-01-07,204.1,206.1,202.8,204.20000000000002,5780000.0
2020-01-08,203.4,205.9,201.05,204.75,5890000.0
2020-01-09,205.2,207.3,200.85000000000002,206.85,9180000.0
2020-01-10,207.5,212.25,200.04999999999998,208.0,13540000.0
2020-01-13,211.70000000000002,213.29999999999998,206.95,210.2,15220000.0
2020-01-14,210.45000000000002,214.5,209.8875,213.55,9830000.0
2020-01-15,214.8,214.8,212.0,212.5,6790000.0
2020-01-16,214.5,214.5,211.4,214.25,7870000.0
2020-01-17,215.75,222.5,215.5875,218.5,8900000.0
2020-01-20,218.75,219.51250000000002,215.75,216.29999999999998,3850000.0
2020-01-21,214.7,215.6125,212.10000000000002,213.64999999999998,5600000.0
2020-01-22,215.2,216.95,212.7,213.75,6840000.0
2020-01-23,213.95,214.75,209.1,209.54999999999998,7680000.0
2020-01-24,211.5,215.0,210.6875,212.3,5460000.0
2020-01-27,209.5,209.60000000000002,205.9,207.25,5090000.0
2020-01-28,207.60000000000002,208.6,204.5,208.25,3950000.0
2020-01-29,208.55,209.14999999999998,205.10000000000002,206.55,5660000.0
2020-01-30,205.5,210.2,203.25,206.1,5040000.0
2020-01-31,207.04999999999998,208.35000000000002,205.45000000000002,205.45000000000002,9880000.0
2020-02-03,207.45000000000002,208.4,205.7,208.25,5980000.0
2020-02-04,209.05,216.9,209.05,216.29999999999998,7820000.0
2020-02-05,216.14999999999998,219.85,212.45000000000002,213.9,8790000.0
2020-02-06,214.20000000000002,215.5,210.95,214.20000000000002,4810000.0
2020-02-07,215.10000000000002,215.10000000000002,208.5,208.75,5460000.0
2020-02-10,209.75,211.95,207.0,211.5,6250000.0
2020-02-11,213.75,219.1,213.75,218.25,7420000.0
2020-02-12,217.60000000000002,220.35,215.65,220.35,6140000.0
2020-02-13,220.2,220.39999999999998,215.79999999999998,217.15,3820000.0
2020-02-14,217.25,218.1,214.45,216.85,5110000.0
2020-02-17,217.15,218.05,215.15,215.85000000000002,3250000.0
2020-02-18,213.79999999999998,215.39999999999998,212.35,212.5,7900000.0
2020-02-19,213.5,216.64999999999998,212.54999999999998,215.7,5590000.0
2020-02-20,217.39999999999998,219.35,215.10000000000002,216.85,7330000.0
2020-02-21,216.85,221.05,214.45,219.7,28590000.0
2020-02-24,214.95000000000002,215.5625,205.95,206.05,12200000.0
2020-02-25,206.70000000000002,211.20000000000002,200.6,201.29999999999998,7470000.0
2020-02-26,200.25,201.1,191.8,195.95,12430000.0
2020-02-27,191.5,193.15,182.39999999999998,185.45000000000002,11790000.0
2020-02-28,176.9,185.45000000000002,173.64999999999998,184.25,18350000.0
2020-03-02,187.60000000000002,188.6,177.85,180.3,12390000.0
2020-03-03,184.25,188.4,182.54999999999998,184.75,9990000.0
2020-03-04,187.5,187.5,179.65,180.95,10630000.0
2020-03-05,181.75,184.14999999999998,175.3,176.5,11080000.0
2020-03-06,173.5,174.05,166.64999999999998,169.65,16329999.999999998
2020-03-09,165.39999999999998,167.95000000000002,158.025,163.25,17680000.0
2020-03-10,164.60000000000002,171.05,159.60000000000002,159.60000000000002,13970000.0
2020-03-11,160.10000000000002,162.89999999999998,150.55,151.54999999999998,16530000.000000002
2020-03-12,143.4,143.4,131.5,134.65,28140000.0
2020-03-13,140.9,144.04999999999998,126.30000000000001,128.15,21680000.0
2020-03-16,119.225,122.75,96.7,104.3,25350000.0
2020-03-17,107.65,110.15,84.275,85.57499999999999,23740000.0
2020-03-18,84.125,85.82499999999999,72.8,73.3,24590000.0
2020-03-19,74.875,82.125,68.675,79.85000000000001,27700000.0
2020-03-20,85.975,97.86250000000001,81.6,94.80000000000001,50850000.0
2020-03-23,87.4,92.15,78.65,90.95,25360000.0
2020-03-24,89.125,108.14999999999999,89.125,108.025,25810000.0
2020-03-25,112.8,135.35,112.52499999999999,129.8,27110000.0
2020-03-26,126.8,129.8,117.225,129.1,15380000.0
2020-03-27,129.60000000000002,130.15,115.9,119.275,18380000.0
2020-03-30,118.425,121.425,106.325,114.725,11540000.0
2020-03-31,115.3,122.95,109.75,114.42500000000001,30430000.0
2020-04-01,109.65,111.8,104.825,105.725,15720000.0
2020-04-02,104.675,108.0875,101.425,102.4,11660000.0
2020-04-03,103.85,105.35,100.0,101.92500000000001,13480000.0
2020-04-06,103.225,119.75,103.225,116.75,20750000.0
2020-04-07,120.625,135.2,120.625,128.7,29460000.0
2020-04-08,125.39999999999999,131.6,123.125,131.2,11000000.0
2020-04-09,133.5,146.64999999999998,132.55,141.15,18680000.0
2020-04-14,142.0,143.55,136.6125,139.65,16600000.000000002
2020-04-15,135.5,139.0,126.75,127.89999999999999,24650000.0
2020-04-16,125.45,132.05,122.5,122.5,19960000.0
2020-04-17,127.35,134.35,124.17500000000001,126.05000000000001,15400000.0
2020-04-20,127.15,130.75,119.375,123.52499999999999,12940000.0
2020-04-21,121.125,122.78750000000001,117.89999999999999,120.125,12640000.0
2020-04-22,122.5,124.8125,119.05,119.05,15950000.0
2020-04-23,119.75,123.72500000000001,118.4,123.4,11660000.0
2020-04-24,122.5,126.8875,118.35000000000001,123.275,12940000.0
2020-04-27,125.0,126.7,119.0,120.375,12460000.0
